,fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
0,12249,3,5,Germany;Berlin,2015-01-02,144,0.966,0.55
1,12250,11,3,Czech republic;Ostrava,2015-01-02,141,0.966,0.55
2,12251,9,7,Germany;Frankfurt,2015-01-02,139,0.966,0.55
3,12252,11,5,Germany;Berlin,2015-01-02,133,0.966,0.55
4,12253,11,2,Denmark;Copenhagen,2015-01-02,130,0.966,0.55
5,12254,5,1,Czech republic;Prague,2015-01-02,130,0.966,0.55
6,12255,5,3,Czech republic;Brno,2015-01-02,126,0.966,0.55
7,12256,8,5,Germany;Berlin,2015-01-02,126,0.966,0.55
8,12257,1,5,Germany;Berlin,2015-01-02,122,0.966,0.55
9,12258,2,2,Denmark;Copenhagen,2015-01-02,117,0.966,0.55
10,12259,9,7,Germany;Frankfurt,2015-01-02,115,0.966,0.55
11,12260,2,4,Germany;Frankfurt,2015-01-02,111,0.966,0.55
12,12261,11,2,Denmark;Copenhagen,2015-01-02,110,0.966,0.55
13,12262,4,7,Germany;Frankfurt,2015-01-02,100,0.966,0.55
14,12263,10,5,Germany;Berlin,2015-01-02,100,0.966,0.55
15,12264,4,6,Germany;Dresden,2015-01-02,97,0.966,0.4
16,12265,7,7,Germany;Frankfurt,2015-01-02,89,0.966,0.4
17,12266,5,5,Germany;Berlin,2015-01-02,75,0.966,0.15
18,12267,1,7,Germany;Frankfurt,2015-01-02,74,0.966,0.15
19,12268,9,5,Germany;Berlin,2015-01-02,66,0.966,0.15
20,12269,8,1,Czech republic;Prague,2015-01-02,58,0.966,0.15
21,12270,11,7,Germany;Frankfurt,2015-01-02,50,0.966,0.15
22,12271,1,6,Germany;Dresden,2015-01-02,48,0.966,0.15
23,12272,3,7,Germany;Frankfurt,2015-01-02,48,0.966,0.15
24,12273,6,7,Germany;Frankfurt,2015-01-02,43,0.966,0.15
25,12274,3,5,Germany;Berlin,2015-01-02,39,0.966,0.15
26,12275,4,5,Germany;Berlin,2015-01-02,37,0.966,0.15
27,12276,5,1,Czech republic;Prague,2015-01-02,37,0.966,0.15
28,12277,10,2,Denmark;Copenhagen,2015-01-02,36,0.966,0.15
29,12278,11,5,Germany;Berlin,2015-01-02,31,0.966,0.15
30,12279,6,7,Germany;Frankfurt,2015-01-02,27,0.966,0.15
31,12280,3,1,Czech republic;Prague,2015-01-02,26,0.966,0.15
32,12281,4,6,Germany;Dresden,2015-01-02,24,0.966,0.01
33,12282,5,7,Germany;Frankfurt,2015-01-02,19,0.966,0.01
34,12283,4,3,Czech republic;Brno,2015-01-02,13,0.966,0.01
35,12284,5,2,Denmark;Copenhagen,2015-01-02,11,0.966,0.01
36,12285,7,5,Germany;Berlin,2015-01-02,11,0.966,0.01
37,12286,8,5,Germany;Berlin,2015-01-02,10,0.966,0.0
38,12287,3,7,Germany;Frankfurt,2015-01-02,9,0.966,0.0
39,12288,5,5,Germany;Berlin,2015-01-02,3,0.966,0.0
40,12289,9,5,Germany;Berlin,2015-01-03,150,0.964,0.55
41,12290,2,7,Germany;Frankfurt,2015-01-03,150,0.964,0.55
42,12291,4,1,Czech republic;Prague,2015-01-03,148,0.964,0.55
43,12292,9,7,Germany;Frankfurt,2015-01-03,148,0.964,0.55
44,12293,6,3,Czech republic;Brno,2015-01-03,148,0.964,0.55
45,12294,3,5,Germany;Berlin,2015-01-03,145,0.964,0.55
46,12295,3,4,Germany;Frankfurt,2015-01-03,143,0.964,0.55
47,12296,3,5,Germany;Berlin,2015-01-03,139,0.964,0.55
48,12297,8,7,Germany;Frankfurt,2015-01-03,139,0.964,0.55
49,12298,3,5,Germany;Berlin,2015-01-03,138,0.964,0.55
50,12299,4,2,Denmark;Copenhagen,2015-01-03,132,0.964,0.55
51,12300,2,7,Germany;Frankfurt,2015-01-03,129,0.964,0.55
52,12301,11,7,Germany;Frankfurt,2015-01-03,127,0.964,0.55
53,12302,1,5,Germany;Berlin,2015-01-03,126,0.964,0.55
54,12303,7,4,Germany;Frankfurt,2015-01-03,125,0.964,0.55
55,12304,4,7,Germany;Frankfurt,2015-01-03,124,0.964,0.55
56,12305,11,4,Germany;Frankfurt,2015-01-03,121,0.964,0.55
57,12306,8,7,Germany;Frankfurt,2015-01-03,121,0.964,0.55
58,12307,11,3,Czech republic;Ostrava,2015-01-03,120,0.964,0.55
59,12308,8,4,Germany;Frankfurt,2015-01-03,116,0.964,0.55
60,12309,7,1,Czech republic;Prague,2015-01-03,109,0.964,0.55
61,12310,5,3,Czech republic;Brno,2015-01-03,108,0.964,0.55
62,12311,8,7,Germany;Frankfurt,2015-01-03,105,0.964,0.55
63,12312,2,4,Germany;Frankfurt,2015-01-03,102,0.964,0.55
64,12313,10,5,Germany;Berlin,2015-01-03,101,0.964,0.55
65,12314,10,5,Germany;Berlin,2015-01-03,97,0.964,0.4
66,12315,5,6,Germany;Dresden,2015-01-03,91,0.964,0.4
