,fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
0,24749,2,2,Denmark;Copenhagen,2016-01-01,149,0.963,0.55
1,24750,5,4,Germany;Frankfurt,2016-01-01,145,0.963,0.55
2,24751,4,2,Denmark;Copenhagen,2016-01-01,142,0.963,0.55
3,24752,1,1,Czech republic;Prague,2016-01-01,141,0.963,0.55
4,24753,4,7,Germany;Frankfurt,2016-01-01,141,0.963,0.55
5,24754,1,6,Germany;Dresden,2016-01-01,138,0.963,0.55
6,24755,5,5,Germany;Berlin,2016-01-01,132,0.963,0.55
7,24756,3,7,Germany;Frankfurt,2016-01-01,131,0.963,0.55
8,24757,9,6,Germany;Dresden,2016-01-01,131,0.963,0.55
9,24758,8,1,Czech republic;Prague,2016-01-01,129,0.963,0.55
10,24759,8,7,Germany;Frankfurt,2016-01-01,126,0.963,0.55
11,24760,2,5,Germany;Berlin,2016-01-01,123,0.963,0.55
12,24761,11,5,Germany;Berlin,2016-01-01,121,0.963,0.55
13,24762,4,7,Germany;Frankfurt,2016-01-01,119,0.963,0.55
14,24763,6,1,Czech republic;Prague,2016-01-01,117,0.963,0.55
15,24764,5,7,Germany;Frankfurt,2016-01-01,115,0.963,0.55
16,24765,7,5,Germany;Berlin,2016-01-01,113,0.963,0.55
17,24766,9,2,Denmark;Copenhagen,2016-01-01,112,0.963,0.55
18,24767,9,7,Germany;Frankfurt,2016-01-01,111,0.963,0.55
19,24768,1,3,Czech republic;Brno,2016-01-01,110,0.963,0.55
20,24769,10,5,Germany;Berlin,2016-01-01,105,0.963,0.55
21,24770,1,6,Germany;Dresden,2016-01-01,102,0.963,0.55
22,24771,6,1,Czech republic;Prague,2016-01-01,98,0.963,0.4
23,24772,10,7,Germany;Frankfurt,2016-01-01,95,0.963,0.4
24,24773,4,5,Germany;Berlin,2016-01-01,91,0.963,0.4
25,24774,1,7,Germany;Frankfurt,2016-01-01,90,0.963,0.4
26,24775,10,3,Czech republic;Ostrava,2016-01-01,87,0.963,0.4
27,24776,4,1,Czech republic;Prague,2016-01-01,85,0.963,0.4
28,24777,10,7,Germany;Frankfurt,2016-01-01,82,0.963,0.4
29,24778,8,5,Germany;Berlin,2016-01-01,80,0.963,0.4
30,24779,7,5,Germany;Berlin,2016-01-01,80,0.963,0.4
31,24780,10,7,Germany;Frankfurt,2016-01-01,78,0.963,0.4
32,24781,8,2,Denmark;Copenhagen,2016-01-01,74,0.963,0.15
33,24782,3,5,Germany;Berlin,2016-01-01,73,0.963,0.15
34,24783,4,7,Germany;Frankfurt,2016-01-01,69,0.963,0.15
35,24784,3,7,Germany;Frankfurt,2016-01-01,66,0.963,0.15
36,24785,6,6,Germany;Dresden,2016-01-01,65,0.963,0.15
37,24786,2,7,Germany;Frankfurt,2016-01-01,64,0.963,0.15
38,24787,4,6,Germany;Dresden,2016-01-01,64,0.963,0.15
39,24788,10,4,Germany;Frankfurt,2016-01-01,63,0.963,0.15
40,24789,11,3,Czech republic;Ostrava,2016-01-01,58,0.963,0.15
41,24790,2,5,Germany;Berlin,2016-01-01,58,0.963,0.15
42,24791,11,3,Czech republic;Ostrava,2016-01-01,47,0.963,0.15
43,24792,5,4,Germany;Frankfurt,2016-01-01,45,0.963,0.15
44,24793,4,5,Germany;Berlin,2016-01-01,39,0.963,0.15
45,24794,4,2,Denmark;Copenhagen,2016-01-01,37,0.963,0.15
46,24795,5,6,Germany;Dresden,2016-01-01,36,0.963,0.15
47,24796,3,5,Germany;Berlin,2016-01-01,36,0.963,0.15
48,24797,1,7,Germany;Frankfurt,2016-01-01,34,0.963,0.15
49,24798,6,2,Denmark;Copenhagen,2016-01-01,34,0.963,0.15
50,24799,9,6,Germany;Dresden,2016-01-01,29,0.963,0.15
51,24800,5,5,Germany;Berlin,2016-01-01,28,0.963,0.15
52,24801,4,6,Germany;Dresden,2016-01-01,27,0.963,0.15
53,24802,10,3,Czech republic;Ostrava,2016-01-01,26,0.963,0.15
54,24803,6,4,Germany;Frankfurt,2016-01-01,25,0.963,0.01
55,24804,3,7,Germany;Frankfurt,2016-01-01,20,0.963,0.01
56,24805,4,3,Czech republic;Brno,2016-01-01,19,0.963,0.01
57,24806,5,5,Germany;Berlin,2016-01-01,16,0.963,0.01
58,24807,1,4,Germany;Frankfurt,2016-01-01,15,0.963,0.01
59,24808,5,3,Czech republic;Brno,2016-01-01,13,0.963,0.01
60,24809,8,4,Germany;Frankfurt,2016-01-01,11,0.963,0.01
61,24810,8,5,Germany;Berlin,2016-01-01,10,0.963,0.0
62,24811,8,6,Germany;Dresden,2016-01-01,8,0.963,0.0
63,24812,3,5,Germany;Berlin,2016-01-01,4,0.963,0.0
64,24813,10,6,Germany;Dresden,2016-01-01,1,0.963,0.0
65,24814,3,7,Germany;Frankfurt,2016-01-02,150,0.967,0.55
66,24815,1,5,Germany;Berlin,2016-01-02,149,0.967,0.55
67,24816,9,7,Germany;Frankfurt,2016-01-02,146,0.967,0.55
68,24817,4,5,Germany;Berlin,2016-01-02,142,0.967,0.55
69,24818,7,3,Czech republic;Ostrava,2016-01-02,138,0.967,0.55
70,24819,1,7,Germany;Frankfurt,2016-01-02,133,0.967,0.55
71,24820,10,5,Germany;Berlin,2016-01-02,131,0.967,0.55
72,24821,11,5,Germany;Berlin,2016-01-02,126,0.967,0.55
73,24822,9,7,Germany;Frankfurt,2016-01-02,124,0.967,0.55
74,24823,8,1,Czech republic;Prague,2016-01-02,122,0.967,0.55
75,24824,1,5,Germany;Berlin,2016-01-02,120,0.967,0.55
76,24825,11,7,Germany;Frankfurt,2016-01-02,117,0.967,0.55
77,24826,5,7,Germany;Frankfurt,2016-01-02,115,0.967,0.55
78,24827,1,6,Germany;Dresden,2016-01-02,114,0.967,0.55
79,24828,2,1,Czech republic;Prague,2016-01-02,111,0.967,0.55
80,24829,6,3,Czech republic;Brno,2016-01-02,110,0.967,0.55
81,24830,1,5,Germany;Berlin,2016-01-02,106,0.967,0.55
82,24831,1,4,Germany;Frankfurt,2016-01-02,103,0.967,0.55
83,24832,3,7,Germany;Frankfurt,2016-01-02,102,0.967,0.55
84,24833,6,5,Germany;Berlin,2016-01-02,99,0.967,0.4
85,24834,6,2,Denmark;Copenhagen,2016-01-02,98,0.967,0.4
86,24835,5,6,Germany;Dresden,2016-01-02,97,0.967,0.4
87,24836,8,7,Germany;Frankfurt,2016-01-02,94,0.967,0.4
88,24837,2,5,Germany;Berlin,2016-01-02,92,0.967,0.4
89,24838,7,2,Denmark;Copenhagen,2016-01-02,91,0.967,0.4
90,24839,5,5,Germany;Berlin,2016-01-02,82,0.967,0.4
91,24840,8,5,Germany;Berlin,2016-01-02,81,0.967,0.4
92,24841,4,4,Germany;Frankfurt,2016-01-02,77,0.967,0.4
93,24842,3,7,Germany;Frankfurt,2016-01-02,72,0.967,0.15
94,24843,1,1,Czech republic;Prague,2016-01-02,71,0.967,0.15
95,24844,1,5,Germany;Berlin,2016-01-02,69,0.967,0.15
96,24845,8,5,Germany;Berlin,2016-01-02,68,0.967,0.15
97,24846,1,7,Germany;Frankfurt,2016-01-02,63,0.967,0.15
98,24847,1,1,Czech republic;Prague,2016-01-02,60,0.967,0.15
99,24848,6,2,Denmark;Copenhagen,2016-01-02,54,0.967,0.15
100,24849,6,2,Denmark;Copenhagen,2016-01-02,51,0.967,0.15
101,24850,3,5,Germany;Berlin,2016-01-02,47,0.967,0.15
102,24851,8,7,Germany;Frankfurt,2016-01-02,47,0.967,0.15
103,24852,5,6,Germany;Dresden,2016-01-02,45,0.967,0.15
104,24853,2,1,Czech republic;Prague,2016-01-02,37,0.967,0.15
105,24854,5,7,Germany;Frankfurt,2016-01-02,35,0.967,0.15
106,24855,1,5,Germany;Berlin,2016-01-02,29,0.967,0.15
107,24856,4,4,Germany;Frankfurt,2016-01-02,28,0.967,0.15
108,24857,10,2,Denmark;Copenhagen,2016-01-02,26,0.967,0.15
109,24858,7,5,Germany;Berlin,2016-01-02,22,0.967,0.01
110,24859,11,5,Germany;Berlin,2016-01-02,22,0.967,0.01
111,24860,1,4,Germany;Frankfurt,2016-01-02,21,0.967,0.01
112,24861,10,7,Germany;Frankfurt,2016-01-02,13,0.967,0.01
113,24862,3,1,Czech republic;Prague,2016-01-02,11,0.967,0.01
114,24863,6,5,Germany;Berlin,2016-01-05,148,0.97,0.55
115,24864,6,7,Germany;Frankfurt,2016-01-05,146,0.97,0.55
116,24865,9,1,Czech republic;Prague,2016-01-05,144,0.97,0.55
117,24866,5,2,Denmark;Copenhagen,2016-01-05,144,0.97,0.55
118,24867,7,5,Germany;Berlin,2016-01-05,143,0.97,0.55
119,24868,7,6,Germany;Dresden,2016-01-05,131,0.97,0.55
120,24869,4,5,Germany;Berlin,2016-01-05,123,0.97,0.55
121,24870,7,4,Germany;Frankfurt,2016-01-05,120,0.97,0.55
122,24871,10,4,Germany;Frankfurt,2016-01-05,120,0.97,0.55
123,24872,3,5,Germany;Berlin,2016-01-05,106,0.97,0.55
124,24873,1,7,Germany;Frankfurt,2016-01-05,106,0.97,0.55
125,24874,5,2,Denmark;Copenhagen,2016-01-05,104,0.97,0.55
126,24875,8,5,Germany;Berlin,2016-01-05,102,0.97,0.55
127,24876,10,7,Germany;Frankfurt,2016-01-05,96,0.97,0.4
128,24877,10,5,Germany;Berlin,2016-01-05,94,0.97,0.4
129,24878,2,4,Germany;Frankfurt,2016-01-05,87,0.97,0.4
130,24879,3,1,Czech republic;Prague,2016-01-05,82,0.97,0.4
131,24880,1,1,Czech republic;Prague,2016-01-05,81,0.97,0.4
132,24881,4,5,Germany;Berlin,2016-01-05,80,0.97,0.4
133,24882,2,7,Germany;Frankfurt,2016-01-05,77,0.97,0.4
